sep=,
File name,From,Subject,Date,To,CC,Body
"Z:\Dropbox\Universität\Information Systems M.Sc?\_Bulk Cargo Matching Project Seminar\Training Data\3000 Emails\Export-Selection-final.pst","VARAMAR <position@varamar.com>","VARAMAR Position: BLACK SEA --> PG / INDIA / FAR EAST","04.19.2017 10:52:54 ","Dry","","Dear Customers,

VARAMAR open with below special position today:
m/v “BEAUTROPHY” - open BLACK SEA - 25-28 APRIL
Seeking PART CARGO ON / UNDER DECK direction PG/ INDIA / FAR EAST



- BUILT: 2009
- DWAT: 7 500 mts
- LOA: 118,5 m
- DRAFT: 6,25 m
- 2 HO / 2 HA
- GEARED : 2 X 40 MTS (COMBI 80 MTS)

Looking forward to your proposals !

Best regards,

VARAMAR 
projects@varamar.com
www.varamar.com <file://10.0.1.15/Mark5/Attach/C://Users//LUOU±OYo//AppData//Local//Temp/> 

Telephone : +38 0487 34 02 01




"
"Z:\Dropbox\Universität\Information Systems M.Sc?\_Bulk Cargo Matching Project Seminar\Training Data\3000 Emails\Export-Selection-final.pst","VARAMAR <position@varamar.com>","VARAMAR WORLD WIDE OPEN POSITIONS","03.28.2017 05:50:12 ","Dry","","Dear All,
Varamar Shipping open with below positions today: 

VESSEL
GEAR 
DWT 
DATES 
POSITION 
DIRECTION
CONTINENT / MEDITERRANEAN SEA / BLACK SEA 
HEINO 
2 x 150
12 780
29 MARCH
ANTALYA

	RED SEA / PG

SERSER
2 x 60
3 900
Spot
ITALY

	RED SEA / PG

ADEL
Gearless
9 000
28-29 MARCH
ADRIATIC SEA

	INDIA / S ASIA / FAR EAST

ROELOF
2 x 150
7 912
29-30 MARCH
MARMARA SEA

	RED SEA / WC INDIA / S ASIA / FAR EAST

TBN
2 x 80
9 500
5–12 APRIL
BLACK SEA / MARMARA SEA

	RED SEA / PG

TBN
2 x 150
12 800
5–15 APRIL
OPEN CONTINENT / BALTIC

	Looking for cargos MIDDLE EAST / INDIA / ASIA

TBN
2 x 80
8 500
20-30 APRIL
BLACK SEA 

	INDIA / S ASIA / FAR EAST

RED SEA / ARABIAN GULF / INDIA
MEDKON SINOP
2 x 70
8 947
7-10 APRIL
KAMSAR

	Any direction

ASIA
DOLPHIN STAR
2 x 60
9 000
30 MARCH -5 APRIL
SINGAPORE

	FAR EAST

TBN
2 x 60
8 500
10-15 APRIL
SHANGHAI

	MED SEA / BLACK SEA




  
projects@varamar.com
www.varamar.com <file:///C:ÙÕÛ±ÓÝõ­> 

AGENTS:

Genoa - dd@multimarineservices.com
Istanbul - chartering@rebaship.com
Madrid - booking@externasli.com
Mumbai - shipping@seatechindia.com
St.Petersburg - chartering@nortrop.com.ua
Seoul - mpl@mpl-shipping.com 

"
"Z:\Dropbox\Universität\Information Systems M.Sc?\_Bulk Cargo Matching Project Seminar\Training Data\3000 Emails\Export-Selection-final.pst","VARAMAR <position@varamar.com>","VARAMAR WORLD WIDE OPEN POSITIONS","04.04.2017 07:18:13 ","Dry","","Dear All,
Varamar Shipping open with below positions today: 

VESSEL
GEAR 
DWT 
DATES 
POSITION 
DIRECTION
CONTINENT / MEDITERRANEAN SEA / BLACK SEA 
SERSER
2 x 60
3 900
Spot
ITALY

	RED SEA / PG

ROELOF
2 x 150
7 912
3-5 APRIL
ADRIATIC SEA

	RED SEA / WC INDIA / S ASIA / FAR EAST

ADEL
Gearless
9 000
5-6 APRIL
EAST MED

	INDIA / S ASIA / FAR EAST

TBN
2 x 80
9 500
5–12 APRIL
BLACK SEA / MARMARA SEA

	RED SEA / PG

VARAMAR TBN
2 x 150
12 800
15–25 APRIL
OPEN CONTINENT / BALTIC

	Looking for any suitable part cargoes UNDER / ON DECK direction MIDDLE EAST / INDIA / ASIA or en route

TBN
2 x 80
8 500
20-30 APRIL
BLACK SEA 

	INDIA / S ASIA / FAR EAST

RED SEA / ARABIAN GULF / INDIA
MEDKON SINOP
2 x 70
8 947
7 APRIL
KAMSAR

	Any direction

HEINO 
2 x 150
12 780
10-11 APRIL
HAMAD

	Inter PG

ASIA
DOLPHIN STAR
2 x 60
9 000
5 APRIL
THAILAND

	FAR EAST

TBN
2 x 60
8 500
10-15 APRIL
SHANGHAI

	MED SEA / BLACK SEA




  
projects@varamar.com
www.varamar.com <file:///C:ÙÕÛ±ÓÝõ­> 

AGENTS:

Genoa - dd@multimarineservices.com
Istanbul - chartering@rebaship.com
Madrid - booking@externasli.com
Mumbai - shipping@seatechindia.com
St.Petersburg - chartering@nortrop.com.ua
Seoul - mpl@mpl-shipping.com 

"
"Z:\Dropbox\Universität\Information Systems M.Sc?\_Bulk Cargo Matching Project Seminar\Training Data\3000 Emails\Export-Selection-final.pst","VARAMAR <position@varamar.com>","VARAMAR WORLD WIDE OPEN POSITIONS","03.30.2017 11:47:02 ","Dry","","Dear All,
Varamar Shipping open with below positions today: 

VESSEL
GEAR 
DWT 
DATES 
POSITION 
DIRECTION
CONTINENT / MEDITERRANEAN SEA / BLACK SEA 
SERSER
2 x 60
3 900
Spot
ITALY

	RED SEA / PG

ADEL
Gearless
9 000
30-31 MARCH
ADRIATIC SEA

	INDIA / S ASIA / FAR EAST

ROELOF
2 x 150
7 912
3-5 APRIL
ADRIATIC SEA

	RED SEA / WC INDIA / S ASIA / FAR EAST

TBN
2 x 80
9 500
5–12 APRIL
BLACK SEA / MARMARA SEA

	RED SEA / PG

TBN
2 x 150
12 800
5–15 APRIL
OPEN CONTINENT / BALTIC

	Looking for cargos MIDDLE EAST / INDIA / ASIA

TBN
2 x 80
8 500
20-30 APRIL
BLACK SEA 

	INDIA / S ASIA / FAR EAST

RED SEA / ARABIAN GULF / INDIA
MEDKON SINOP
2 x 70
8 947
7-10 APRIL
KAMSAR

	Any direction

HEINO 
2 x 150
12 780
10 APRIL
HAMAD

	Inter PG

ASIA
DOLPHIN STAR
2 x 60
9 000
30 MARCH -5 APRIL
SINGAPORE

	FAR EAST

TBN
2 x 60
8 500
10-15 APRIL
SHANGHAI

	MED SEA / BLACK SEA



  
projects@varamar.com
www.varamar.com <file:///C:ÙÕÛ±ÓÝõ­> 

AGENTS:

Genoa - dd@multimarineservices.com
Istanbul - chartering@rebaship.com
Madrid - booking@externasli.com
Mumbai - shipping@seatechindia.com
St.Petersburg - chartering@nortrop.com.ua
Seoul - mpl@mpl-shipping.com 

"
"Z:\Dropbox\Universität\Information Systems M.Sc?\_Bulk Cargo Matching Project Seminar\Training Data\3000 Emails\Export-Selection-final.pst","VARAMAR <position@varamar.com>","VARAMAR WORLD WIDE OPEN POSITIONS","04.06.2017 10:49:49 ","Dry","","Dear All,
Varamar Shipping open with below positions today: 

VESSEL
GEAR 
DWT 
DATES 
POSITION 
DIRECTION
CONTINENT / MEDITERRANEAN SEA / BLACK SEA 
SERSER
2 x 60
3 900
Spot
ITALY

	RED SEA / PG

ROELOF
2 x 150
7 912
7-8 APRIL
ADRIATIC SEA

	RED SEA / WC INDIA / S ASIA / FAR EAST

ADEL
Gearless
9 000
7-8 APRIL
EAST MED

	INDIA / S ASIA / FAR EAST

TBN
2 x 80
9 500
7–12 APRIL
BLACK SEA / MARMARA SEA

	RED SEA / PG

VARAMAR TBN
2 x 150
12 800
15–25 APRIL
OPEN CONTINENT / BALTIC

	Looking for any suitable part cargoes UNDER / ON DECK direction MIDDLE EAST / INDIA / ASIA or en route

TBN
2 x 80
8 500
20-30 APRIL
BLACK SEA 

	INDIA / S ASIA / FAR EAST

RED SEA / ARABIAN GULF / INDIA
MEDKON SINOP
2 x 70
8 947
7 APRIL
KAMSAR

	Any direction

HEINO 
2 x 150
12 780
10-11 APRIL
HAMAD

	Inter PG

ASIA
TBN
2 x 60
8 500
10-15 APRIL
SHANGHAI

	MED SEA / BLACK SEA

DOLPHIN STAR
2 x 60
9 000
14-15 APRIL
MASAN

	FAR EAST





  
projects@varamar.com
www.varamar.com <file:///C:ÙÕÛ±ÓÝõ­> 

AGENTS:

Genoa - dd@multimarineservices.com
Istanbul - chartering@rebaship.com
Madrid - booking@externasli.com
Mumbai - shipping@seatechindia.com
St.Petersburg - chartering@nortrop.com.ua
Seoul - mpl@mpl-shipping.com 

"
"Z:\Dropbox\Universität\Information Systems M.Sc?\_Bulk Cargo Matching Project Seminar\Training Data\3000 Emails\Export-Selection-final.pst","VARAMAR <position@varamar.com>","mv ""SERSER""/dwt 3900/TW 2x60 - open ITALY SPOT","04.05.2017 09:58:29 ","Dry","","
Dear ALL,
Good day,

VARAMAR open with below special position:

mv ""SERSER"" - open ITALY SPOT




- BUILT: 2008
- DWAT:  3900 mts
- LOA: 80 m
- 1 HO / 1 HA
- TWEEN
- GEARED: 2 x 60 MTS (COMBI UPTO 120 MTS)


Please propose suitable cargo!

Best regards,


Phone : +38 048 734 02 10 
Fax      : +38 048 734 02 16




"
"Z:\Dropbox\Universität\Information Systems M.Sc?\_Bulk Cargo Matching Project Seminar\Training Data\3000 Emails\Export-Selection-final.pst","VARAMAR <position@varamar.com>","MV HEINO OPEN  JEBEL ALI  09 - 10 APRIL TO PG","03.30.2017 12:08:27 ","Dry","","Dear ALL,
Good day,

VARAMAR open with below special position:

MV ""HEINO"" - OPEN JEBEL ALI 09 - 10  APRIL

Seeking part cargo under/on deck
                                                                                                                                   direction PERSIAN GULF




- BUILT: 2007
- DWT:  12782 MTS
- TWEEN
- 3 H / 3 H
- GEARED: 2 x 150 MTS
(COMBI UPTO MAX 300 MTS)

Looking forward to your proposals !

Best Regards,


VARAMAR SHIPPING DMCC
dubai@varamar.com
www.varamar.com <file://10.0.1.15/Mark5/Attach/C://Users//LUOU±OYo//AppData//Local//Temp/> 

Telephone : +971 4 457 86 14
Fax : +971 4 457 86 37
______________________________________________________________________________________________________________________________ 
Varamar Shipping DMCC is registered & licensed as a Free Zone Company under the Rules & Regulations of DMCCA
Member of The Dubai Chamber of Commerce



"
"Z:\Dropbox\Universität\Information Systems M.Sc?\_Bulk Cargo Matching Project Seminar\Training Data\3000 Emails\Export-Selection-final.pst","VARAMAR <position@varamar.com>","VARAMAR WORLD WIDE OPEN POSITIONS","04.11.2017 06:30:47 ","Dry","","Dear All,
Varamar Shipping open with below positions today: 

VESSEL
GEAR 
DWT 
DATES 
POSITION 
DIRECTION
CONTINENT / MEDITERRANEAN SEA / BLACK SEA 
SERSER
2 x 60
3 900
13 APRIL 
MERSIN

	RED SEA / PG

ROELOF
2 x 150
7 912
15-17 APRIL
EAST MED

	RED SEA / WC INDIA / S ASIA / FAR EAST

VARAMAR TBN
2 x 150
12 800
15–25 APRIL
OPEN CONTINENT / BALTIC

	Looking for any suitable part cargoes UNDER / ON DECK direction MIDDLE EAST / INDIA / ASIA or en route

BEAUTROPHY
2 x 40
7 215
20-30 APRIL
BLACK SEA 

	PG / FAR EAST

RED SEA / ARABIAN GULF / INDIA
ADEL
Gearless
9 000
13 APRIL
PORT SUDAN

	INDIA / S ASIA / FAR EAST

ASIA
DOLPHIN STAR
2 x 60
9 000
16 APRIL
MASAN

	FAR EAST

TBN
2 x 60
8 500
23-27 APRIL
SHANGHAI

	MED SEA / BLACK SEA


  
projects@varamar.com
www.varamar.com <file:///C:ÙÕÛ±ÓÝõ­> 

AGENTS:

Genoa - dd@multimarineservices.com
Istanbul - chartering@rebaship.com
Madrid - booking@externasli.com
Mumbai - shipping@seatechindia.com
St.Petersburg - chartering@nortrop.com.ua
Seoul - mpl@mpl-shipping.com 

"
"Z:\Dropbox\Universität\Information Systems M.Sc?\_Bulk Cargo Matching Project Seminar\Training Data\3000 Emails\Export-Selection-final.pst","VARAMAR <position@varamar.com>","VARAMAR WORLD WIDE OPEN POSITIONS","04.13.2017 04:14:33 ","Dry","","Dear All,
Varamar Shipping open with below positions today: 

VESSEL
GEAR 
DWT 
DATES 
POSITION 
DIRECTION
CONTINENT / MEDITERRANEAN SEA / BLACK SEA 
SERSER
2 x 60
3 900
13-14 APRIL 
MERSIN

	RED SEA / PG

ROELOF
2 x 150
7 912
15-17 APRIL
EAST MED

	RED SEA / WC INDIA / S ASIA / FAR EAST

EEMSLIFT NADINE
2 x150
4 200
22-23 APRIL
KOPER

	RED SEA / PG

BEAUTROPHY
2 x 40
7 215
20-30 APRIL
BLACK SEA 

	PG / FAR EAST

VARAMAR TBN
2 x 150
12 800
25 APRIL–5 MAY
OPEN CONTINENT / BALTIC

	Looking for any suitable part cargoes UNDER / ON DECK direction MIDDLE EAST / INDIA / ASIA or en route

RED SEA / ARABIAN GULF / INDIA
ADEL
Gearless
9 000
14-15 APRIL
RED SEA

	INDIA / S ASIA / FAR EAST

ASIA
DOLPHIN STAR
2 x 60
9 000
16 APRIL
MASAN

	FAR EAST

TBN
2 x 60
8 500
23-27 APRIL
SHANGHAI

	MED SEA / BLACK SEA


  
projects@varamar.com
www.varamar.com <file:///C:ÙÕÛ±ÓÝõ­> 

AGENTS:

Genoa - dd@multimarineservices.com
Istanbul - chartering@rebaship.com
Madrid - booking@externasli.com
Mumbai - shipping@seatechindia.com
St.Petersburg - chartering@nortrop.com.ua
Seoul - mpl@mpl-shipping.com 

"
"Z:\Dropbox\Universität\Information Systems M.Sc?\_Bulk Cargo Matching Project Seminar\Training Data\3000 Emails\Export-Selection-final.pst","VARAMAR <position@varamar.com>","SPECIAL HEAVY LIFT Position:ADRIATIC --->  RED SEA / PG","04.14.2017 10:56:56 ","Dry","","Dear ALL,
Good day,

VARAMAR open with below special position:
mv ""EEMSLIFT NADINE"" - open ADRIATIC 20-25 of APRIL


Seeking for part cargo direction RED SEA / PERSIAN GULF



- BLT 2014
- DWAT: 4200 mts 

- 1 HO / 1 HA
- GEARED: 2 x 150 MTS (COMBI UPTO 300 MTS)

Looking forward to your proposals !

Best regards,


Phone  : +38 048 734 02 10 
Fax      : +38 048 734 02 16





"
